Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0,883,ERYVNAPR.AF,0.0,0.0,-0.0036779261656691,-0.0031380916863512
1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,1,883,ERYVNAPR.AF,0.25,0.25,-0.0016871372098936,-0.0010797513383826
1.0,1.0,1.0,1.0,0.75,0.0,0.25,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.25,1.0,0.75,0.0,0.25,0.5,0.75,0.75,0.75,2,883,ERYVNAPR.AF,0.25,0.5,-0.0016027803493987,0.0001350204046395
1.0,1.0,1.0,1.0,0.5,0.0,0.25,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.75,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,3,883,ERYVNAPR.AF,0.5,0.5,0.0003374274419787,0.0001012447085428
1.0,1.0,1.0,1.0,0.5,0.0,0.25,1.0,0.75,0.5,0.5,0.25,1.0,1.0,0.5,0.0,0.75,0.25,0.25,0.25,0.75,0.75,0.25,0.25,4,883,ERYVNAPR.AF,0.5,0.5,-0.0005736101754143,-0.0005568047071127
1.0,1.0,0.5,0.75,0.75,0.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.25,0.0,0.5,0.0,0.5,0.5,0.75,0.5,0.0,0.0,5,883,ERYVNAPR.AF,0.5,0.5,0.0005398344793179,-0.0004049788341717
0.75,0.75,0.75,1.0,0.5,0.0,0.25,1.0,0.75,0.0,0.5,0.5,0.25,1.0,0.0,0.0,0.75,0.75,0.25,0.25,1.0,0.75,0.75,0.75,6,883,ERYVNAPR.AF,0.5,0.5,0.0006073858715109,-0.0003543152900269
1.0,0.75,1.0,1.0,0.25,0.0,0.25,1.0,0.0,0.25,0.5,0.5,0.25,1.0,0.75,0.75,1.0,0.75,0.0,0.5,1.0,0.75,0.75,1.0,7,883,ERYVNAPR.AF,1.0,0.5,0.0017378007540382,-0.000894149769345
1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,0.75,0.0,0.5,1.0,0.75,1.0,0.75,1.0,0.5,0.75,0.5,0.25,1.0,0.75,0.75,1.0,8,883,ERYVNAPR.AF,0.5,0.25,-0.0002361827334358,-0.0013497097679149
1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,0.5,1.0,0.0,0.75,0.5,1.0,0.75,0.5,0.75,0.5,0.25,0.5,0.0,0.5,0.5,0.5,9,883,ERYVNAPR.AF,0.5,0.5,1.6805468301628324e-05,0.000691660352259
1.0,0.75,1.0,0.75,0.5,1.0,0.25,1.0,0.5,0.5,0.0,0.5,0.75,0.0,0.5,0.25,0.5,0.25,0.0,0.25,0.5,0.25,0.75,0.25,10,883,ERYVNAPR.AF,0.5,0.5,-0.0009448133134897,0.0002361827334358
0.75,1.0,1.0,1.0,0.0,1.0,0.25,1.0,0.25,0.0,0.0,0.5,0.75,0.25,0.25,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.75,0.75,11,883,ERYVNAPR.AF,0.5,0.5,-0.0009617011615379,-0.0009448133134897
1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,0.5,0.0,0.25,0.75,0.75,1.0,12,883,ERYVNAPR.AF,0.0,0.0,-0.0026319505233833,-0.0026825316877814
1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.5,0.75,0.75,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,13,883,ERYVNAPR.AF,0.25,0.25,-0.001113527034479,-0.0012484650593718
1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.25,0.5,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0.25,14,883,ERYVNAPR.AF,0.5,0.5,0.0006748548839574,-0.0006748548839574
1.0,0.75,0.75,0.75,0.5,1.0,0.25,0.0,0.75,1.0,0.0,0.0,0.25,0.5,0.25,0.25,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.75,15,883,ERYVNAPR.AF,0.75,0.25,0.0011809960469255,-0.0013834030842647
0.75,0.75,0.75,0.75,0.0,1.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.75,0.75,0.25,0.25,0.75,0.75,0.25,1.0,16,883,ERYVNAPR.AF,0.5,0.25,1.6887848048208198e-05,-0.0013328219198665
0.75,1.0,0.75,0.75,0.0,1.0,0.25,0.25,0.75,0.75,0.0,0.25,0.0,0.5,0.75,0.75,1.0,0.5,0.5,0.5,0.75,0.75,0.0,0.5,17,883,ERYVNAPR.AF,0.5,0.25,-5.058116439804472e-05,-0.0011978838949735
0.75,0.75,0.75,0.75,0.5,1.0,0.25,0.25,0.5,0.25,0.0,0.75,0.25,0.25,0.5,0.5,0.5,0.75,0.25,0.25,0.75,0.75,0.75,0.25,18,883,ERYVNAPR.AF,0.5,0.25,-0.0001349380248927,-0.0016196681974469
